Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
slr1216	-1,3108825465	Non RNA-binding protein			
slr5105	-1,3109837238	Non RNA-binding protein			
slr5105	-1,3109837238	Non RNA-binding protein			
slr1443	-1,3109873743	Non RNA-binding protein			
sll0228	-1,3110481222	Non RNA-binding protein			
sll1592	-1,3113132073	Non RNA-binding protein			
sll1915	-1,3121457047	Non RNA-binding protein			
slr1533	-1,3135667711	Non RNA-binding protein			
slr0338	-1,3153262521	Non RNA-binding protein			
ssr3467	-1,3166615944	Non RNA-binding protein			
slr1176	-1,3184673785	Non RNA-binding protein			
slr6050	-1,3190016323	Non RNA-binding protein			
slr6050	-1,3190016323	Non RNA-binding protein			
sll5130	-1,3190098101	Non RNA-binding protein			
sll1485	-1,3192850614	Non RNA-binding protein			
sll0577	-1,3204106302	Non RNA-binding protein			
sll0008	-1,3209022557	Non RNA-binding protein	unknown		48, right
sll7087	-1,3212682415	Non RNA-binding protein	Cmr4		54, left
sll0446	-1,3219301895	Non RNA-binding protein			
sll0374	-1,3227602304	Non RNA-binding protein			
ssl0438	-1,3228954831	Non RNA-binding protein			
slr6022	-1,3243111692	Non RNA-binding protein			
slr6081	-1,3243111692	Non RNA-binding protein			
sll0321	-1,3245495403	Non RNA-binding protein			
slr0625	-1,3262611677	Non RNA-binding protein			
slr0975	-1,3269688485	Non RNA-binding protein			
slr2042	-1,3285774039	Non RNA-binding protein			
slr6015	-1,3296813064	Non RNA-binding protein			
slr6074	-1,3296813064	Non RNA-binding protein			
slr6015	-1,3296813064	Non RNA-binding protein			
slr6074	-1,3296813064	Non RNA-binding protein			
slr0241	-1,3299724342	Non RNA-binding protein			
ssl7046	-1,3314402227	Non RNA-binding protein			
ssl7046	-1,3314402227	Non RNA-binding protein			
slr6005	-1,3315222395	Non RNA-binding protein			
slr6064	-1,3315222395	Non RNA-binding protein			
slr6005	-1,3315222395	Non RNA-binding protein			
slr6064	-1,3315222395	Non RNA-binding protein			
sll1155	-1,3323397706	Non RNA-binding protein			
slr2105	-1,3324383119	Non RNA-binding protein			
slr1362	-1,3327903089	Non RNA-binding protein			
sll5130	-1,3330764862	Non RNA-binding protein			
slr1566	-1,3341718775	Non RNA-binding protein			
slr0401	-1,3343796576	Non RNA-binding protein			
slr7101	-1,3390128216	Non RNA-binding protein			
slr7101	-1,3390128216	Non RNA-binding protein			
sll1768	-1,3391434631	Non RNA-binding protein			
smr0004	-1,3399438777	Non RNA-binding protein			
sll0985	-1,3400567748	Non RNA-binding protein			
ssr1880	-1,3402618857	Non RNA-binding protein			
sll7087	-1,3411677798	Non RNA-binding protein			
sll5104	-1,3413062565	Non RNA-binding protein			
sll0915	-1,3428234642	Non RNA-binding protein			
sll1036	-1,3440096347	Non RNA-binding protein			
sml0001	-1,3440348598	Non RNA-binding protein			
ssl2598	-1,3444621298	Non RNA-binding protein			
sll0470	-1,3461108572	Non RNA-binding protein			
slr0023	-1,3471723057	Non RNA-binding protein			
ssr0102	-1,3474063682	Non RNA-binding protein			
sll0280	-1,3475157996	Non RNA-binding protein			
sll0066	-1,3488622478	Non RNA-binding protein			
sll0661	-1,3497714725	Non RNA-binding protein			
smr0014	-1,3498694782	Non RNA-binding protein			
sll0402	-1,3524797849	Non RNA-binding protein			
sll0631	-1,3533770192	Non RNA-binding protein			
slr7013	-1,3534180518	Non RNA-binding protein			
slr7013	-1,3534180518	Non RNA-binding protein			
slr1213	-1,3536164544	Non RNA-binding protein			
sll0449	-1,3546051612	Non RNA-binding protein			
slr6037	-1,3547512269	Non RNA-binding protein			
slr6037	-1,3547512269	Non RNA-binding protein			
sll1206	-1,3559319829	Non RNA-binding protein			
sll1225	-1,3561853245	Non RNA-binding protein			
slr1704	-1,3574866608	Non RNA-binding protein			
slr1658	-1,3580633733	Non RNA-binding protein			
slr2073	-1,3581299694	Non RNA-binding protein			
sll0676	-1,3586761273	Non RNA-binding protein			
sll0069	-1,3590380778	Non RNA-binding protein			
slr2023	-1,3607815854	Non RNA-binding protein			
slr0800	-1,3612326511	Non RNA-binding protein			
sll0696	-1,3623137408	Non RNA-binding protein			
slr1379	-1,3631599695	Non RNA-binding protein			
sll1736	-1,3639986007	Non RNA-binding protein			
ssr1562	-1,3645620573	Non RNA-binding protein			
sll2010	-1,3657260858	Non RNA-binding protein			
slr1070	-1,3666837299	Non RNA-binding protein			
ssl5095	-1,3667941927	Non RNA-binding protein			
ssl5095	-1,3667941927	Non RNA-binding protein			
slr0888	-1,3670617679	Non RNA-binding protein			
sll0183	-1,3672637051	Non RNA-binding protein			
slr0109	-1,3685290006	Non RNA-binding protein			
sll1314	-1,3687283223	Non RNA-binding protein			
Norf4	-1,3694232633	Non RNA-binding protein			
sll0479	-1,3711013844	Non RNA-binding protein			
slr1753	-1,3714387445	Non RNA-binding protein			
sll1151	-1,3718399581	Non RNA-binding protein			
slr0210	-1,3720749779	Non RNA-binding protein			
slr1147	-1,3729186107	Non RNA-binding protein			
slr2019	-1,3734533582	Non RNA-binding protein			
slr1406	-1,3744964595	Non RNA-binding protein			
slr0727	-1,3759446848	Non RNA-binding protein			
slr0565	-1,3778340518	Non RNA-binding protein			
sll1251	-1,3787162746	Non RNA-binding protein			
sll0160	-1,3798783401	Non RNA-binding protein			
sll1254	-1,3804026961	Non RNA-binding protein			
slr1730	-1,3813126963	Non RNA-binding protein			
sll1577	-1,3814753761	Non RNA-binding protein			
slr1859	-1,3822378861	Non RNA-binding protein			
slr5093	-1,3825277941	Non RNA-binding protein			
slr5093	-1,3825277941	Non RNA-binding protein			
ssl1255	-1,3829574517	Non RNA-binding protein			
ssl0259	-1,3845846013	Non RNA-binding protein			
ssl3335	-1,3855945935	Non RNA-binding protein			
slr0250	-1,3881355801	Non RNA-binding protein			
sll5047	-1,3882075877	Non RNA-binding protein			
sll5047	-1,3882075877	Non RNA-binding protein			
slr1870	-1,3892018977	Non RNA-binding protein			
ssl0483	-1,3898828762	Non RNA-binding protein			
slr0232	-1,3906862843	Non RNA-binding protein			
slr1394	-1,3910763734	Non RNA-binding protein			
slr1425	-1,3916999354	Non RNA-binding protein			
slr1178	-1,3925354266	Non RNA-binding protein			
ssr3532	-1,3938844784	Non RNA-binding protein			
sll1912	-1,3951884744	Non RNA-binding protein			
slr1596	-1,3958869919	Non RNA-binding protein			
sll0243	-1,3961598197	Non RNA-binding protein			
slr1676	-1,3963763438	Non RNA-binding protein			
slr5016	-1,3986318608	Non RNA-binding protein			
slr5016	-1,3986318608	Non RNA-binding protein			
slr1655	-1,4017603871	Non RNA-binding protein			
sll5084	-1,4024784938	Non RNA-binding protein			
sll1491	-1,4035130507	Non RNA-binding protein			
slr0404	-1,4062751132	Non RNA-binding protein			
slr0654	-1,4063881678	Non RNA-binding protein			
slr1634	-1,4067250836	Non RNA-binding protein			
sll1658	-1,4080717347	Non RNA-binding protein			
slr1339	-1,4087074435	Non RNA-binding protein			
sll1305	-1,4118808499	Non RNA-binding protein			
sll0925	-1,4123441851	Non RNA-binding protein			
sll0829	-1,4127926658	Non RNA-binding protein			
slr0912	-1,4135551682	Non RNA-binding protein			
sll0738	-1,4142737123	Non RNA-binding protein			
slr0196	-1,4149469844	Non RNA-binding protein			
sll0787	-1,4152353342	Non RNA-binding protein			
ssl3389	-1,4157036023	Non RNA-binding protein			
slr1491	-1,4158178672	Non RNA-binding protein			
slr1392	-1,4175805948	Non RNA-binding protein			
Norf2	-1,4183646962	Non RNA-binding protein			
ssr2784	-1,4184547546	Non RNA-binding protein			
sll8040	-1,4184826342	Non RNA-binding protein			
sll8040	-1,4184826342	Non RNA-binding protein			
sll5062	-1,4199146172	Non RNA-binding protein			
sll5062	-1,4199146172	Non RNA-binding protein			
ssl1378	-1,4209148623	Non RNA-binding protein			
ssr2551	-1,4213501327	Non RNA-binding protein			
sll0644	-1,4224403311	Non RNA-binding protein			
ssl0788	-1,4230478435	Non RNA-binding protein			
slr2110	-1,4240049102	Non RNA-binding protein			
sll7077	-1,4242643838	Non RNA-binding protein			
sll7077	-1,4242643838	Non RNA-binding protein			
sll0486	-1,4245624085	Non RNA-binding protein			
sll1350	-1,4250962071	Non RNA-binding protein			
slr1719	-1,4251490142	Non RNA-binding protein			
sll1613	-1,4277145187	Non RNA-binding protein			
sll1174	-1,4284304208	Non RNA-binding protein			
slr1436	-1,4289636014	Non RNA-binding protein			
sll1370	-1,4292051538	Non RNA-binding protein			
slr1169	-1,4307794388	Non RNA-binding protein			
slr0541	-1,4310475355	Non RNA-binding protein			
sll5059	-1,4313851238	Non RNA-binding protein			
sll5059	-1,4313851238	Non RNA-binding protein			
slr1033	-1,4328668848	Non RNA-binding protein			
sll1949	-1,4334354025	Non RNA-binding protein			
sll7027	-1,4343257428	Non RNA-binding protein			
slr2051	-1,4344903477	Non RNA-binding protein			
slr0701	-1,4350829728	Non RNA-binding protein			
slr0516	-1,4369849958	Non RNA-binding protein			
slr1915	-1,4379300781	Non RNA-binding protein			
sml0003	-1,4386229718	Non RNA-binding protein			
slr1135	-1,4391406453	Non RNA-binding protein			
sll0319	-1,4392660535	Non RNA-binding protein	DUF3747, periplasmic protein		
sll1316	-1,4424620007	Non RNA-binding protein			
slr1162	-1,4427469828	Non RNA-binding protein			
slr0415	-1,4431889649	Non RNA-binding protein			
slr8030	-1,4437591741	Non RNA-binding protein			
slr8030	-1,4437591741	Non RNA-binding protein			
slr1087	-1,4460725322	Non RNA-binding protein			
ssr0706	-1,4469249625	Non RNA-binding protein			
slr1073	-1,4471538018	Non RNA-binding protein			
slr0686	-1,4482477485	Non RNA-binding protein			
sgl0002	-1,4507227384	Non RNA-binding protein			
slr2081	-1,4510544521	Non RNA-binding protein			
sll1025	-1,4512098819	Non RNA-binding protein			
sll1629	-1,4535008604	Non RNA-binding protein			
sll0301	-1,4553144838	Non RNA-binding protein			
slr1431	-1,4566588959	Non RNA-binding protein			
ssr2087	-1,4567009764	Non RNA-binding protein			
ssr2067	-1,4590413538	Non RNA-binding protein			
sll2006	-1,4594932472	Non RNA-binding protein			
sll5084	-1,4597166473	Non RNA-binding protein			
slr0075	-1,4599427353	Non RNA-binding protein			
ssr2201	-1,4610534779	Non RNA-binding protein			
slr2012	-1,4611511117	Non RNA-binding protein			
ssr3129	-1,4612047696	Non RNA-binding protein			
slr1964	-1,4614624522	Non RNA-binding protein			
slr0646	-1,4626074252	Non RNA-binding protein			
sll0721	-1,4631271786	Non RNA-binding protein			
sll1189	-1,4632313006	Non RNA-binding protein			
slr1529	-1,4651171891	Non RNA-binding protein			
ssl0431	-1,4652258101	Non RNA-binding protein			
sll0614	-1,4653250964	Non RNA-binding protein			
slr1511	-1,4656472488	Non RNA-binding protein			
slr0165	-1,4669213296	Non RNA-binding protein			
ssl2999	-1,4677269872	Non RNA-binding protein			
slr0092	-1,4703294158	Non RNA-binding protein			
slr1351	-1,4709221714	Non RNA-binding protein			
sll1532	-1,4709614219	Non RNA-binding protein			
slr1067	-1,4711191403	Non RNA-binding protein			
slr1215	-1,4721159563	Non RNA-binding protein			
sll0253	-1,4723734248	Non RNA-binding protein			
slr2144	-1,4724734364	Non RNA-binding protein			
slr1434	-1,4733835878	Non RNA-binding protein			
ssl3383	-1,4741916932	Non RNA-binding protein			
sll0248	-1,4758240733	Non RNA-binding protein			
slr1843	-1,4801798441	Non RNA-binding protein			
sll1360	-1,4813157682	Non RNA-binding protein			
ssl2807	-1,4820706305	Non RNA-binding protein			
slr0442	-1,4821334615	Non RNA-binding protein			
sll0777	-1,4845999681	Non RNA-binding protein			
sll0408	-1,4882778652	Non RNA-binding protein			
sll0034	-1,4892711714	Non RNA-binding protein			
sll0371	-1,4893770809	Non RNA-binding protein			
slr1723	-1,4903621082	Non RNA-binding protein			
sll0670	-1,4919373435	Non RNA-binding protein			
sll8011	-1,4934289979	Non RNA-binding protein			
sll8011	-1,4934289979	Non RNA-binding protein			
slr8014	-1,4945015347	Non RNA-binding protein			
slr1929	-1,4945334021	Non RNA-binding protein			
slr2126	-1,4953617534	Non RNA-binding protein			
sll0992	-1,4958055517	Non RNA-binding protein			
slr0795	-1,4962847196	Non RNA-binding protein			
ssl5025	-1,4964711777	Non RNA-binding protein			
ssl5025	-1,4964711777	Non RNA-binding protein			
slr0195	-1,4976705191	Non RNA-binding protein			
sll0901	-1,4985687448	Non RNA-binding protein			
sll1722	-1,4988441402	Non RNA-binding protein			
ssr2062	-1,4997957979	Non RNA-binding protein			
sll0685	-1,5002766161	Non RNA-binding protein			
sll0698	-1,5011307973	Non RNA-binding protein			
slr0514	-1,5024209729	Non RNA-binding protein			
sll1471	-1,5042963579	Non RNA-binding protein			
slr6104	-1,5057084299	Non RNA-binding protein			
slr6104	-1,5057084299	Non RNA-binding protein			
ssl1918	-1,5058782794	Non RNA-binding protein			
sll0939	-1,5059003285	Non RNA-binding protein			
slr0810	-1,5059101126	Non RNA-binding protein			
ssl1263	-1,5061327023	Non RNA-binding protein			
slr0439	-1,5078497543	Non RNA-binding protein			
sll1167	-1,5109426541	Non RNA-binding protein			
sll5043	-1,5119569063	Non RNA-binding protein			
sll5043	-1,5119569063	Non RNA-binding protein			
ssl0105	-1,5144117718	Non RNA-binding protein			
slr8014	-1,5147604717	Non RNA-binding protein			
slr1187	-1,5160769228	Non RNA-binding protein			
sll1784	-1,5165026165	Non RNA-binding protein			
sll1250	-1,5166769151	Non RNA-binding protein			
sll0443	-1,5170552028	Non RNA-binding protein			
ssl0787	-1,5177686483	Non RNA-binding protein			
slr1195	-1,5182855614	Non RNA-binding protein			
slr1261	-1,5188964194	Non RNA-binding protein			
ssl0353	-1,5199826567	Non RNA-binding protein			
slr7100	-1,5204547332	Non RNA-binding protein			
slr7100	-1,5204547332	Non RNA-binding protein			
slr1990	-1,5209431823	Non RNA-binding protein			
sll0047	-1,5221989166	Non RNA-binding protein			
slr2004	-1,5223750488	Non RNA-binding protein			
slr0774	-1,5227571842	Non RNA-binding protein			
sll0645	-1,5229073062	Non RNA-binding protein			
slr1917	-1,5266168276	Non RNA-binding protein			
slr0518	-1,5269067556	Non RNA-binding protein			
sll0135	-1,5277201392	Non RNA-binding protein			
sll1660	-1,5283336607	Non RNA-binding protein			
ssr1425	-1,5285887335	Non RNA-binding protein			
sll1783	-1,5292740114	Non RNA-binding protein			
slr0069	-1,5294233537	Non RNA-binding protein			
slr1618	-1,5301796151	Non RNA-binding protein			
slr1693	-1,5330669138	Non RNA-binding protein			
slr1575	-1,5372548288	Non RNA-binding protein			
slr0055	-1,5372743662	Non RNA-binding protein			
slr1414	-1,5373020279	Non RNA-binding protein			
sll0558	-1,5405186114	Non RNA-binding protein			
ssl2717	-1,5421660255	Non RNA-binding protein			
sll1399	-1,5426078424	Non RNA-binding protein			
slr0090	-1,5427857907	Non RNA-binding protein			
sll5128	-1,5460478848	Non RNA-binding protein			
sll5128	-1,5460478848	Non RNA-binding protein			
slr6051	-1,5499063302	Non RNA-binding protein			
slr6051	-1,5499063302	Non RNA-binding protein			
sll1916	-1,5515028043	Non RNA-binding protein			
ssl2069	-1,5523511812	Non RNA-binding protein			
sll0545	-1,5533055908	Non RNA-binding protein			
ssr3588	-1,5544992073	Non RNA-binding protein			
slr1066	-1,5552147946	Non RNA-binding protein			
slr1856	-1,5555304196	Non RNA-binding protein			
slr1983	-1,5561360517	Non RNA-binding protein			
ssr1375	-1,5562701007	Non RNA-binding protein			
slr1795	-1,5563702702	Non RNA-binding protein			
sll1089	-1,5567494213	Non RNA-binding protein			
sll7047	-1,5572596135	Non RNA-binding protein			
sll7047	-1,5572596135	Non RNA-binding protein			
slr1266	-1,5580378335	Non RNA-binding protein			
sll0886	-1,5583598957	Non RNA-binding protein			
sll0372	-1,5587008516	Non RNA-binding protein			
sll1045	-1,5600388032	Non RNA-binding protein			
slr0638	-1,5603861179	Non RNA-binding protein			
sll1662	-1,5606152006	Non RNA-binding protein			
slr2117	-1,5614173003	Non RNA-binding protein			
sll0910	-1,5630077644	Non RNA-binding protein			
sll1562	-1,5633143446	Non RNA-binding protein			
slr0573	-1,5639194202	Non RNA-binding protein			
sll0853	-1,5640131941	Non RNA-binding protein			
ssr1951	-1,5641743795	Non RNA-binding protein			
slr0990	-1,5662745819	Non RNA-binding protein			
sll1522	-1,5664797791	Non RNA-binding protein			
sll0896	-1,5678198769	Non RNA-binding protein			
slr1303	-1,5724372358	Non RNA-binding protein			
slr0877	-1,5725913559	Non RNA-binding protein			
sll0267	-1,5768002542	Non RNA-binding protein			
slr0269	-1,5770030664	Non RNA-binding protein			
slr1515	-1,5795364482	Non RNA-binding protein			
sll1611	-1,5796245515	Non RNA-binding protein			
ssl1376	-1,5799476583	Non RNA-binding protein			
sll1886	-1,5819324257	Non RNA-binding protein			
slr1212	-1,5823446581	Non RNA-binding protein			
sll1418	-1,5832190525	Non RNA-binding protein			
slr0708	-1,5842334688	Non RNA-binding protein			
ssr1049	-1,5853108293	Non RNA-binding protein			
ssr0755	-1,5862246973	Non RNA-binding protein			
sll1871	-1,5867789768	Non RNA-binding protein			
sll0726	-1,5869692949	Non RNA-binding protein			
slr1914	-1,5883069102	Non RNA-binding protein			
sml0004	-1,5898569338	Non RNA-binding protein			
slr0491	-1,5919945166	Non RNA-binding protein			
smr0001	-1,5930664674	Non RNA-binding protein			
sll1879	-1,5944133521	Non RNA-binding protein			
sll0101	-1,5948019365	Non RNA-binding protein			
sll1851	-1,5951595595	Non RNA-binding protein			
ssl2971	-1,5954067432	Non RNA-binding protein			
sll1584	-1,5957782556	Non RNA-binding protein			
sll1130	-1,5962692994	Non RNA-binding protein			
slr1148	-1,5964633864	Non RNA-binding protein			
sll0877	-1,5965821707	Non RNA-binding protein			
slr1101	-1,5974626925	Non RNA-binding protein			
slr1509	-1,5995483538	Non RNA-binding protein			
sml0005	-1,5997138608	Non RNA-binding protein			
slr6097	-1,6016535512	Non RNA-binding protein			
slr6097	-1,6016535512	Non RNA-binding protein			
slr1930	-1,6017257001	Non RNA-binding protein			
slr0521	-1,6049183194	Non RNA-binding protein			
sll0750	-1,6052358377	Non RNA-binding protein			
slr1046	-1,6052692166	Non RNA-binding protein			
slr0957	-1,6052982665	Non RNA-binding protein			
sll0549	-1,6060609801	Non RNA-binding protein			
sll1281	-1,6063522762	Non RNA-binding protein			
slr1651	-1,6065276402	Non RNA-binding protein			
sll1685	-1,6069891257	Non RNA-binding protein			
sll0543	-1,6073705881	Non RNA-binding protein			
sll1875	-1,6074440004	Non RNA-binding protein			
slr1586	-1,6074709726	Non RNA-binding protein			
sll1406	-1,6076809652	Non RNA-binding protein			
sll0798	-1,6116387948	Non RNA-binding protein			
slr0163	-1,6123432319	Non RNA-binding protein			
sll1605	-1,6124152954	Non RNA-binding protein			
slr1544	-1,6144599513	Non RNA-binding protein			
slr0948	-1,6159093252	Non RNA-binding protein			
sll0872	-1,6192736475	Non RNA-binding protein			
sll0172	-1,6196065246	Non RNA-binding protein			
slr1805	-1,6201673683	Non RNA-binding protein			
sll0537	-1,6230210423	Non RNA-binding protein			
sll0169	-1,6250164304	Non RNA-binding protein			
slr0440	-1,6260892579	Non RNA-binding protein			
ssl7007	-1,6265082081	Non RNA-binding protein			
sll0522	-1,6283167572	Non RNA-binding protein			
slr0742	-1,6293437837	Non RNA-binding protein	Ribosome maturation factor RimP		1, right
sll1304	-1,6308301208	Non RNA-binding protein			
slr0345	-1,6318560359	Non RNA-binding protein			
slr1691	-1,6321720136	Non RNA-binding protein			
slr0794	-1,6323214619	Non RNA-binding protein			
slr0593	-1,6325823434	Non RNA-binding protein			
slr0421	-1,6349723933	Non RNA-binding protein			
slr1082	-1,6360404512	Non RNA-binding protein			
sll0296	-1,6361236173	Non RNA-binding protein			
sll1598	-1,6387707862	Non RNA-binding protein			
slr1819	-1,6407478774	Non RNA-binding protein			
sll0761	-1,6415892021	Non RNA-binding protein			
slr6025	-1,6430649174	Non RNA-binding protein			
slr6084	-1,6430649174	Non RNA-binding protein			
slr6025	-1,6430649174	Non RNA-binding protein			
slr6084	-1,6430649174	Non RNA-binding protein			
ssr1789	-1,6431988619	Non RNA-binding protein			
slr0164	-1,6432894728	Non RNA-binding protein			
slr1890	-1,6437047078	Non RNA-binding protein			
slr2008	-1,6439165156	Non RNA-binding protein			
slr0579	-1,6441601892	Non RNA-binding protein			
ssr2439	-1,6452234241	Non RNA-binding protein			
slr0147	-1,6459219738	Non RNA-binding protein			
sll0364	-1,6477560449	Non RNA-binding protein			
sll1203	-1,6478750531	Non RNA-binding protein			
sll0423	-1,6492222413	Non RNA-binding protein			
slr1366	-1,6497212446	Non RNA-binding protein			
slr0728	-1,6503260431	Non RNA-binding protein			
slr1537	-1,6513602669	Non RNA-binding protein			
sll1765	-1,6520649648	Non RNA-binding protein			
sll5004	-1,6529659576	Non RNA-binding protein			
slr1104	-1,6531077147	Non RNA-binding protein			
slr5078	-1,6552514594	Non RNA-binding protein			
slr5078	-1,6552514594	Non RNA-binding protein			
slr1610	-1,6553296614	Non RNA-binding protein			
sll1680	-1,6565918107	Non RNA-binding protein			
sll1888	-1,6570013655	Non RNA-binding protein			
slr6043	-1,6580487882	Non RNA-binding protein			
slr6043	-1,6580487882	Non RNA-binding protein			
sll0258	-1,6586235104	Non RNA-binding protein			
sll0994	-1,6603439418	Non RNA-binding protein			
ssl3803	-1,6607680552	Non RNA-binding protein			
sll1271	-1,6610145804	Non RNA-binding protein			
sll0584	-1,6619549646	Non RNA-binding protein			
ssr1386	-1,6622769919	Non RNA-binding protein			
slr1488	-1,6640774679	Non RNA-binding protein			
ssr3409	-1,6642494939	Non RNA-binding protein			
sll0148	-1,6656430211	Non RNA-binding protein			
sll1957	-1,6660222033	Non RNA-binding protein			
slr2000	-1,6669568535	Non RNA-binding protein			
sll0242	-1,6672806559	Non RNA-binding protein			
slr0897	-1,6673324964	Non RNA-binding protein			
sll0156	-1,6677023921	Non RNA-binding protein			
slr0204	-1,6689101279	Non RNA-binding protein			
slr1211	-1,6690524514	Non RNA-binding protein			
sll0188	-1,6711152811	Non RNA-binding protein			
slr1932	-1,6715259831	Non RNA-binding protein			
sll0913	-1,6727181958	Non RNA-binding protein			
sll1039	-1,6751951595	Non RNA-binding protein			
sll0671	-1,6756923371	Non RNA-binding protein			
slr0324	-1,6758685377	Non RNA-binding protein			
sll0862	-1,6782111518	Non RNA-binding protein			
slr1421	-1,6813557601	Non RNA-binding protein			
slr0356	-1,6851308328	Non RNA-binding protein			
slr7052	-1,6860902633	Non RNA-binding protein			
slr7052	-1,6860902633	Non RNA-binding protein			
ssr2595	-1,6871925975	Non RNA-binding protein			
slr0847	-1,6885145479	Non RNA-binding protein			
slr1317	-1,6890609092	Non RNA-binding protein			
slr1174	-1,6916083739	Non RNA-binding protein			
slr0624	-1,6926842444	Non RNA-binding protein			
sll1769	-1,6927691589	Non RNA-binding protein			
slr1186	-1,6980600102	Non RNA-binding protein			
slr1109	-1,6989227193	Non RNA-binding protein			
slr0519	-1,6991435065	Non RNA-binding protein			
sll5004	-1,7002115387	Non RNA-binding protein			
ssl8024	-1,7003886475	Non RNA-binding protein			
sll1072	-1,7019486566	Non RNA-binding protein			
slr0819	-1,7019525834	Non RNA-binding protein			
sll6010	-1,7038952587	Non RNA-binding protein			
sll6069	-1,7038952587	Non RNA-binding protein			
sll6010	-1,7038952587	Non RNA-binding protein			
sll6069	-1,7038952587	Non RNA-binding protein			
sll1232	-1,7050751315	Non RNA-binding protein			
ssr3410	-1,7101016156	Non RNA-binding protein			
slr0031	-1,7107342404	Non RNA-binding protein			
ssl7007	-1,7107419672	Non RNA-binding protein			
sll0553	-1,7108953232	Non RNA-binding protein			
slr0280	-1,7111736275	Non RNA-binding protein			
sll0727	-1,7118826568	Non RNA-binding protein			
slr0364	-1,7127590142	Non RNA-binding protein			
sll1672	-1,7148349879	Non RNA-binding protein			
sll0608	-1,7159855426	Non RNA-binding protein			
slr1638	-1,7178956295	Non RNA-binding protein			
slr0249	-1,7194957151	Non RNA-binding protein			
slr1478	-1,7209619406	Non RNA-binding protein			
slr0678	-1,7214274438	Non RNA-binding protein			
sll0501	-1,7216781429	Non RNA-binding protein			
sll0381	-1,7278962233	Non RNA-binding protein			
slr1612	-1,7305741476	Non RNA-binding protein			
slr0875	-1,7308763396	Non RNA-binding protein			
ssl1520	-1,7309522483	Non RNA-binding protein			
sll1002	-1,7311756561	Non RNA-binding protein			
slr6007	-1,7315579423	Non RNA-binding protein			
slr6066	-1,7315579423	Non RNA-binding protein			
slr6007	-1,7315579423	Non RNA-binding protein			
slr6066	-1,7315579423	Non RNA-binding protein			
sll0752	-1,7331003114	Non RNA-binding protein			
sll1704	-1,7334994462	Non RNA-binding protein			
slr5111	-1,7352553432	Non RNA-binding protein			
slr7099	-1,7370528333	Non RNA-binding protein			
slr7099	-1,7370528333	Non RNA-binding protein			
sll1785	-1,7373454548	Non RNA-binding protein			
slr1315	-1,7395446115	Non RNA-binding protein			
slr2010	-1,7396065672	Non RNA-binding protein			
sll1537	-1,7421346344	Non RNA-binding protein			
slr0642	-1,7429025493	Non RNA-binding protein			
slr1692	-1,7430792776	Non RNA-binding protein			
slr0617	-1,7442599796	Non RNA-binding protein			
sll0623	-1,7454828094	Non RNA-binding protein			
sll1104	-1,7456198808	Non RNA-binding protein			
sll0063	-1,7466762035	Non RNA-binding protein			
slr1489	-1,7469212295	Non RNA-binding protein			
slr0813	-1,7496689295	Non RNA-binding protein			
ssl8024	-1,7508427221	Non RNA-binding protein			
sll1284	-1,7518316645	Non RNA-binding protein			
sll0597	-1,7538681214	Non RNA-binding protein			
sll0763	-1,7547208919	Non RNA-binding protein			
sll0790	-1,7572556844	Non RNA-binding protein			
slr1865	-1,7579893851	Non RNA-binding protein			
slr1344	-1,7580270383	Non RNA-binding protein			
sll1596	-1,7630528964	Non RNA-binding protein			
slr5111	-1,7635687456	Non RNA-binding protein			
slr1369	-1,7656805941	Non RNA-binding protein			
slr1353	-1,7662839933	Non RNA-binding protein			
sll1009	-1,7663873034	Non RNA-binding protein			
slr1163	-1,7665175476	Non RNA-binding protein			
slr1201	-1,7669618864	Non RNA-binding protein			
slr0806	-1,7683091303	Non RNA-binding protein			
sll0157	-1,7691589601	Non RNA-binding protein			
ssl2501	-1,7695319739	Non RNA-binding protein			
slr1664	-1,7695616001	Non RNA-binding protein			
sll0210	-1,7701476858	Non RNA-binding protein			
sll1757	-1,7706501711	Non RNA-binding protein			
slr0212	-1,7709869059	Non RNA-binding protein			
sll1329	-1,7717597313	Non RNA-binding protein			
sll1024	-1,7738385085	Non RNA-binding protein			
slr1120	-1,7763986778	Non RNA-binding protein			
sll1895	-1,7782196644	Non RNA-binding protein			
slr5073	-1,7792728078	Non RNA-binding protein			
slr5073	-1,7792728078	Non RNA-binding protein			
ssr2615	-1,7800539455	Non RNA-binding protein			
sll1150	-1,7805019258	Non RNA-binding protein			
sll1832	-1,7810193965	Non RNA-binding protein			
ssr2422	-1,7811343328	Non RNA-binding protein			
sll1444	-1,7840085777	Non RNA-binding protein			
slr0924	-1,7858497863	Non RNA-binding protein			
slr2087	-1,7864628302	Non RNA-binding protein			
sll1163	-1,7866485169	Non RNA-binding protein			
slr0168	-1,7868347184	Non RNA-binding protein			
ssr1155	-1,7869224779	Non RNA-binding protein			
sll0639	-1,7872923291	Non RNA-binding protein	DHH phosphoesterase domain protein		
slr0065	-1,7873569378	Non RNA-binding protein			
ssl2814	-1,7876003822	Non RNA-binding protein			
smr0007	-1,7879168502	Non RNA-binding protein			
ssl1046	-1,7880331279	Non RNA-binding protein			
sll0394	-1,7887700539	Non RNA-binding protein			
slr0157	-1,7908157195	Non RNA-binding protein			
sll0525	-1,7908164246	Non RNA-binding protein			
sll1092	-1,7911268735	Non RNA-binding protein			
